url,titre,entreprise,date_publication,region,ville,contrat,experience,niveau_etude,competences_cles,skills_list,experience_cat,annee,mois
https://www.emploi.ma/offre-emploi-maroc/representante-pedagogique-laayoune-9260193,Représentant(e) Pédagogique - Laâyoune,CALLIOPE,2026-03-10,Laâyoune,Laâyoune,CDI,Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+3 - Bac+4 - Bac+5 et plus,Vente,['Vente'],Junior (2-5 ans),2026,3
https://www.emploi.ma/offre-emploi-maroc/commercial-b2b-rabat-casablanca-9230679,Commercial B2B - Rabat - Casablanca,JOB CONNECT,2026-02-13,Casablanca-Mohammedia - Rabat-Salé-Kénitra,Casablanca,CDI,Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+3 - Bac+4 - Bac+5 et plus,Vente - Techniques de Vente - Prospection - Gestion de Portefeuille - Négociation - Développement Commercial,"['Vente', 'Techniques de Vente', 'Prospection', 'Gestion de Portefeuille', 'Négociation', 'Développement Commercial']",Junior (2-5 ans),2026,2
https://www.emploi.ma/offre-emploi-maroc/mecanicien-poids-lourds-casablanca-9220134,Mécanicien Poids Lourds - Casablanca,GENERAL PRIVATE INTERIM,2026-02-06,Casablanca-Mohammedia,Casablanca,Intérim,Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Non spécifié,Production - Maintenance - Qualité,"['Production', 'Maintenance', 'Qualité']",Junior (2-5 ans),2026,2
https://www.emploi.ma/offre-emploi-maroc/directeurtrice-association-tanger-9216884,Directeur(trice) D’Association - Tanger,AFRICAWORK,2026-02-04,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla - Errachidia - Fès - Guelmim - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International,Tanger,CDI,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+5 et plus,Facility Management - Planification - Gestion - Management,"['Facility Management', 'Planification', 'Gestion', 'Management']",Confirmé (5-10 ans),2026,2
https://www.emploi.ma/offre-emploi-maroc/technicien-mecanique-casablanca-9275530,Technicien Mécanique - Casablanca,TECTRA,2026-03-13,Casablanca-Mohammedia,Casablanca,Intérim,Non spécifié,Bac+2,Électromécanique - Qualité - Production,"['Électromécanique', 'Qualité', 'Production']",Non spécifié,2026,3
https://www.emploi.ma/offre-emploi-maroc/animatrice-conseillere-vente-cosmetique-casablanca-9261087,Animatrice Conseillère de Vente en Cosmétique - Casablanca,TECTRA RECRUTEMENT MAROC,2026-03-11,Casablanca-Mohammedia,Casablanca,Intérim,Débutant < 2 ans - Expérience entre 2 ans et 5 ans,Qualification avant bac - Bac,[email protected] - Animation - Commercialisation - Conseil - Vente,"['[email protected]', 'Animation', 'Commercialisation', 'Conseil', 'Vente']",Débutant,2026,3
https://www.emploi.ma/offre-emploi-maroc/technicien-maintenance-industrielle-ait-melloul-9219469,Technicien de Maintenance Industrielle - Ait Melloul,VETCAM,2026-02-06,Agadir,Ait Melloul,Intérim,Non spécifié,Bac+2,Électromécanique - Maintenance Préventive - Exploitation - Pneumatique - Production - Amélioration Continue - Maintenance - Qualité - Maintenance Industrielle - Automatisme - Mécanique Électrique - Électricité Industrielle,"['Électromécanique', 'Maintenance Préventive', 'Exploitation', 'Pneumatique', 'Production', 'Amélioration Continue', 'Maintenance', 'Qualité', 'Maintenance Industrielle', 'Automatisme', 'Mécanique Électrique', 'Électricité Industrielle']",Non spécifié,2026,2
https://www.emploi.ma/offre-emploi-maroc/assistante-recouvrement-hf-meknes-9240158,Assistant(e) Recouvrement (H/F) - Meknès,SOMACOS,2026-02-20,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla - Errachidia - Fès - Guelmim - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International,Meknès,CDI,Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+2 - Bac+3 - Bac+4 - Bac+5 et plus,Comptabilité - Gestion - Finance - Recouvrement,"['Comptabilité', 'Gestion', 'Finance', 'Recouvrement']",Junior (2-5 ans),2026,2
https://www.emploi.ma/offre-emploi-maroc/animateur-hse-casablanca-9085632,Animateur HSE - Casablanca,Non spécifié,2026-01-28,Casablanca-Mohammedia,Casablanca,CDI,Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+5 et plus,QHSE - Hygiène - Maintenance - Qualité,"['QHSE', 'Hygiène', 'Maintenance', 'Qualité']",Junior (2-5 ans),2026,1
https://www.emploi.ma/offre-emploi-maroc/cariste-conducteur-gerbeur-experimente-casablanca-9217368,Cariste : Conducteur de Gerbeur Expérimenté - Casablanca,BRICOMA,2026-02-06,Casablanca-Mohammedia,Casablanca,CDI,Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Qualification avant bac - Bac - Bac+1 - Bac+2,Entrepôt - Déstockage - Expédition - Stockage,"['Entrepôt', 'Déstockage', 'Expédition', 'Stockage']",Junior (2-5 ans),2026,2
